latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
27.47454,84.34602,329.31,0.54,0.51,2025-03-05,0802,N,VIIRS,n,2.0NRT,296.67,5.11,D
27.55009,84.57806,331.77,0.56,0.52,2025-03-05,0802,N,VIIRS,n,2.0NRT,298.92,5.9,D
27.54953,84.57233,341.34,0.56,0.52,2025-03-05,0802,N,VIIRS,n,2.0NRT,298.92,5.9,D
27.54914,84.57572,335.93,0.56,0.52,2025-03-05,0802,N,VIIRS,n,2.0NRT,299.36,4.98,D
27.55393,84.5752,348.7,0.56,0.52,2025-03-05,0802,N,VIIRS,n,2.0NRT,299.42,8.59,D
27.53138,84.23062,330.52,0.54,0.5,2025-03-05,0802,N,VIIRS,n,2.0NRT,299.73,4.34,D
27.56029,84.43578,335.92,0.55,0.51,2025-03-05,0802,N,VIIRS,n,2.0NRT,297.08,6.2,D
27.59086,84.1133,329.89,0.53,0.5,2025-03-05,0802,N,VIIRS,n,2.0NRT,299.28,3.57,D
27.78951,83.79109,335.52,0.51,0.49,2025-03-05,0802,N,VIIRS,n,2.0NRT,299.22,11.72,D
27.78902,83.78629,340.69,0.51,0.49,2025-03-05,0802,N,VIIRS,n,2.0NRT,298.64,9.71,D
27.7894,83.78862,350.22,0.51,0.49,2025-03-05,0802,N,VIIRS,n,2.0NRT,299.85,13.61,D
27.88973,84.7148,340.27,0.58,0.52,2025-03-05,0802,N,VIIRS,n,2.0NRT,297.9,4.19,D
27.89383,83.44485,341.76,0.49,0.48,2025-03-05,0802,N,VIIRS,n,2.0NRT,298.75,4.83,D
27.89342,83.4407,331.93,0.49,0.48,2025-03-05,0802,N,VIIRS,n,2.0NRT,298.85,4.83,D
27.89933,83.4544,345.1,0.49,0.48,2025-03-05,0802,N,VIIRS,n,2.0NRT,298.76,6.65,D
27.89745,83.43566,339.87,0.49,0.48,2025-03-05,0802,N,VIIRS,n,2.0NRT,298.6,7.18,D
28.69024,80.43843,330.05,0.51,0.41,2025-03-05,0802,N,VIIRS,n,2.0NRT,298.05,3.09,D
